FUELANNUAL	HSVAL	GOR_DV	YEAR	HHSIZE	HHTYPE_DV	HSBEDS	TENURE_DV	NEMP_DV	NKIDS_DV	NPENS_DV	NUE_DV	LKMOVE	XPMOVE	FIHHMNGRS_DV	FIYRDIC_DV	FINNOW	FINFUT	SAVE	JBSTAT	SF1	RACEL_DV	BIRTHY	SEX	NCARS	ENVHABIT1_A	ENVHABIT3_A	ENVHABIT4_A	ENVHABIT6_A	ENVHABIT8_A	FUELDUEL	HEATCH	HHEAT	AGE	REGION	LONDON	LAT	LONG	NSAMPLES	T.FUEL	T.HVAL	T.HHINCOME	T.HHSAV
600	18e4	9	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned outright	2	0	2	1	Wants to stay	Not expecting to move	4507.96	39.47079086303711	2	3	Monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1944	Female	2	5	5	4	3	4	One bill	Some form of central heating	Yes	67	South West	Not London	51.00126857	-3.13045706	185	0.8706689925595104	0.9118588562794454	0.8052219311233594	0.5188752614983547
600	18e4	9	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned outright	2	0	2	1	Wants to stay	Not expecting to move	4507.96	0	2	3	Monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1944	Male	2	4	1	3	3	1	One bill	Some form of central heating	Yes	67	South West	Not London	51.00126857	-3.13045706	185	0.8706689925595104	0.9118588562794454	0.8052219311233594	0.5117662727140687
960	2e5	9	2011	2	Couple both under pensionable age, no children	3	Owned with mortgage	2	0	0	0	Wants to move	Expect moving	2917.17	10	3	1	Monthly savings	In paid employment (full or part-time)	5	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1956	Female	1	1	5	2	2	4	One bill	Some form of central heating	Yes	55	South West	Not London	51.00126857	-3.13045706	185	0.8908187738411418	0.9152191456659423	0.7865407695012115	0.5136251215114191
960	135e3	9	2011	3	Couple with 1 child	2	Owned with mortgage	2	1	0	0	Wants to stay	Expect moving	2717.03	0	2	1	Monthly savings	In paid employment (full or part-time)	2	Mixed: Any Other Mixed Background	1981	Female	2	4	3	4	4	1	Separate	Some form of central heating	Yes	30	South West	Not London	51.00126857	-3.13045706	185	0.8908187738411418	0.9036564379866792	0.7838867746964956	0.5117662727140687
1200	2e5	9	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	3361.43	138.165771484375	1	3	No monthly savings	Retired	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1935	Female	2	5	3	3	3	3	Separate	Some form of central heating	Yes	76	South West	Not London	51.00126857	-3.13045706	185	0.9025300868744667	0.9152191456659423	0.7921638620971271	0.5343909092852502
1200	2e5	9	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	3361.43	7500	1	3	Monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1936	Male	2	5	5	2	3	2	Separate	Some form of central heating	Yes	75	South West	Not London	51.00126857	-3.13045706	185	0.9025300868744667	0.9152191456659423	0.7921638620971271	0.7533082109848013
2316	19e4	9	2011	3	Couple with 1 child	3	Owned with mortgage	2	1	0	0	Wants to move	Not expecting to move	2737.75	0	3	3	No monthly savings	Self employed	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1963	Male	2	1	1	1	1	2	One bill	Some form of central heating	Yes	48	South West	Not London	51.00126857	-3.13045706	185	0.9453108877888908	0.9135590037438859	0.78416523368028	0.5117662727140687
2316	19e4	9	2011	3	Couple with 1 child	3	Owned with mortgage	2	1	0	0	Wants to move	Not expecting to move	2737.75	0	3	1	No monthly savings	In paid employment (full or part-time)	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1974	Female	2	1	1	1	4	1	One bill	Some form of central heating	Yes	37	South West	Not London	51.00126857	-3.13045706	185	0.9453108877888908	0.9135590037438859	0.78416523368028	0.5117662727140687
1500	55e4	9	2011	2	2 adults, not a couple, one or more over pensionable age, no children	5	Owned outright	1	0	1	1	Wants to stay	Not expecting to move	2106.86	50	3	2	No monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1938	Female	2	5	5	5	2	0	One bill	Some form of central heating	Yes	73	South West	Not London	51.00126857	-3.13045706	185	0.9156735367000481	0.9572343846030826	0.7752702672678509	0.5206740901984966
1500	55e4	9	2011	2	2 adults, not a couple, one or more over pensionable age, no children	5	Owned outright	1	0	1	1	Wants to move	Expect moving	2106.86	0	3	2	Monthly savings	Self employed	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1968	Male	2	2	5	5	1	1	One bill	Some form of central heating	Yes	43	South West	Not London	51.00126857	-3.13045706	185	0.9156735367000481	0.9572343846030826	0.7752702672678509	0.5117662727140687
2e3	35e4	9	2011	4	Couple with 2 children	4	Owned outright	2	2	0	0	Wants to move	Not expecting to move	2656.87	100	3	1	Monthly savings	Self employed	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1968	Male	2	2	5	2	1	1	One bill	Some form of central heating	Yes	43	South West	Not London	51.00126857	-3.13045706	185	0.9347171167059757	0.9363316907606686	0.7830733092428968	0.5287261103959313
2e3	35e4	9	2011	4	Couple with 2 children	4	Owned outright	2	2	0	0	Wants to move	Not expecting to move	2656.87	2e3	3	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1966	Female	2	4	2	1	1	1	One bill	Some form of central heating	Yes	45	South West	Not London	51.00126857	-3.13045706	185	0.9347171167059757	0.9363316907606686	0.7830733092428968	0.6544826796313619
480	22e4	9	2011	1	1 adult under pensionable age, no children	2	Owned outright	0	0	0	1	Wants to stay	Not expecting to move	1858.33	700	2	3	Monthly savings	Unemployed	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1946	Male	2	4	3	4	5	2	Separate	Some form of central heating	Yes	65	South West	Not London	51.00126857	-3.13045706	185	0.8630868338389637	0.9184266468919243	0.7715069829490774	0.5908955009596017
360	15e4	9	2011	1	1 female, age 60+, no children	3	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	379.847	138.165771484375	2	3	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1920	Female	0	5	5	3	3	5	One bill	Some form of central heating	Yes	91	South West	Not London	51.00126857	-3.13045706	185	0.8549713849564698	0.906497856712875	0.7450817422293299	0.5343909092852502
1e3	3e5	9	2011	4	3 or more adults, 1-2 children, incl. at least one couple	4	Owned with mortgage	3	0	0	1	Wants to move	Not expecting to move	5714.87	20	2	1	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1959	Female	2	3	2	4	4	1	One bill	Some form of central heating	Yes	52	South West	Not London	51.00126857	-3.13045706	185	0.8928550472519883	0.9299712188873211	0.8171697773939293	0.5154436696535554
1e3	3e5	9	2011	4	3 or more adults, 1-2 children, incl. at least one couple	4	Owned with mortgage	3	0	0	1	Wants to move	Not expecting to move	5714.87	0	2	2	Monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1949	Male	2	4	4	5	2	3	One bill	Some form of central heating	Yes	62	South West	Not London	51.00126857	-3.13045706	185	0.8928550472519883	0.9299712188873211	0.8171697773939293	0.5117662727140687
1e3	3e5	9	2011	4	3 or more adults, 1-2 children, incl. at least one couple	4	Owned with mortgage	3	0	0	1	Wants to stay	Not expecting to move	5714.87	0	1	2	Monthly savings	Full-time student	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1994	Male	2	2	5	2	1	4	One bill	Some form of central heating	Yes	17	South West	Not London	51.00126857	-3.13045706	185	0.8928550472519883	0.9299712188873211	0.8171697773939293	0.5117662727140687
960	1e5	9	2011	1	1 female, age 60+, no children	2	Owned outright	0	0	1	1	Wants to move	Expect moving	646	0	2	3	No monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1923	Female	0	5	5	1	1	4	Separate	Some form of central heating	Yes	88	South West	Not London	51.00126857	-3.13045706	185	0.8908187738411418	0.8965444531150499	0.750454122411547	0.5117662727140687
1350	18e4	6	2011	3	Couple with 1 child	3	Owned with mortgage	2	1	0	0	Wants to stay	Not expecting to move	2343.75	0	2	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1961	Female	1	5	1	1	3	3	Separate	Some form of central heating	Yes	50	East of England	Not London	52.25103801	0.53921918	193	0.9092887875386867	0.9118588562794454	0.7787151395997484	0.5117662727140687
1220	25e4	6	2011	5	Couple with 3 or more children	6	Owned with mortgage	1	3	0	1	Wants to move	Not expecting to move	2826	0	3	2	Monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1976	Male	2	4	3	3	2	1	Separate	Some form of central heating	Yes	35	East of England	Not London	52.25103801	0.53921918	193	0.9034544415912097	0.9229800349228452	0.785341586746529	0.5117662727140687
1220	25e4	6	2011	5	Couple with 3 or more children	6	Owned with mortgage	1	3	0	1	Wants to move	Not expecting to move	2826	0	3	1	Monthly savings	Looking after family or home	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1967	Female	2	3	5	2	2	2	Separate	Some form of central heating	Yes	44	East of England	Not London	52.25103801	0.53921918	193	0.9034544415912097	0.9229800349228452	0.785341586746529	0.5117662727140687
60	2e5	6	2011	2	Couple both under pensionable age, no children	3	Owned outright	0	0	0	2	Wants to move	Not expecting to move	1004	0	1	1	No monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1947	Male	1	6	2	4	5	2	One bill	Some form of central heating	Yes	64	East of England	Not London	52.25103801	0.53921918	193	0.8317692981783171	0.9152191456659423	0.7572046170348796	0.5117662727140687
60	2e5	6	2011	2	Couple both under pensionable age, no children	3	Owned outright	0	0	0	2	Wants to stay	Not expecting to move	1004	0	1	1	No monthly savings	Unemployed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1952	Female	1	6	5	2	4	2	One bill	Some form of central heating	Yes	59	East of England	Not London	52.25103801	0.53921918	193	0.8317692981783171	0.9152191456659423	0.7572046170348796	0.5117662727140687
1200	15e4	6	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned with mortgage	3	0	0	0	Wants to move	Not expecting to move	4818.1	138.165771484375	1	3	No monthly savings	In paid employment (full or part-time)	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1960	Male	2	5	4	1	3	2	One bill	Some form of central heating	Yes	51	East of England	Not London	52.25103801	0.53921918	193	0.9025300868744667	0.906497856712875	0.8084484114157214	0.5343909092852502
1200	15e4	6	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned with mortgage	3	0	0	0	Wants to stay	Not expecting to move	4818.1	0	1	3	Monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1961	Female	2	4	1	4	5	3	One bill	Some form of central heating	Yes	50	East of England	Not London	52.25103801	0.53921918	193	0.9025300868744667	0.906497856712875	0.8084484114157214	0.5117662727140687
1200	15e4	6	2011	3	3 or more adults, no children, incl. at least one couple	3	Owned with mortgage	3	0	0	0	Wants to stay	Not expecting to move	4818.1	0	2	3	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1985	Male	2	5	1	5	0	1	One bill	Some form of central heating	Yes	26	East of England	Not London	52.25103801	0.53921918	193	0.9025300868744667	0.906497856712875	0.8084484114157214	0.5117662727140687
1800	29e4	6	2011	2	Couple both under pensionable age, no children	3	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	5100	0	3	3	No monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1978	Male	2	3	3	3	1	1	One bill	Some form of central heating	No	33	East of England	Not London	52.25103801	0.53921918	193	0.9274721971013743	0.9286273052027391	0.8112830656909114	0.5117662727140687
1800	29e4	6	2011	2	Couple both under pensionable age, no children	3	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	5100	0	3	2	No monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1978	Female	2	3	5	4	2	2	One bill	Some form of central heating	No	33	East of England	Not London	52.25103801	0.53921918	193	0.9274721971013743	0.9286273052027391	0.8112830656909114	0.5117662727140687
1500	22e4	6	2011	4	Couple with 2 children	4	Owned with mortgage	2	2	0	0	Wants to move	Not expecting to move	2345.68	0	2	2	Monthly savings	Self employed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1979	Female	2	5	1	1	4	1	One bill	Some form of central heating	Yes	32	East of England	Not London	52.25103801	0.53921918	193	0.9156735367000481	0.9184266468919243	0.7787426659199674	0.5117662727140687
1500	22e4	6	2011	4	Couple with 2 children	4	Owned with mortgage	2	2	0	0	Wants to move	Not expecting to move	2345.68	0	2	1	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1975	Male	2	2	1	2	3	2	One bill	Some form of central heating	Yes	36	East of England	Not London	52.25103801	0.53921918	193	0.9156735367000481	0.9184266468919243	0.7787426659199674	0.5117662727140687
1680	27e4	6	2011	3	Couple with 1 child	3	Owned with mortgage	2	1	0	0	Wants to stay	Not expecting to move	5716.95	0	5	2	No monthly savings	In paid employment (full or part-time)	3	NA	1970	Male	2	5	2	1	3	1	Separate	Some form of central heating	Yes	41	East of England	Not London	52.25103801	0.53921918	193	0.9228964153199087	0.9258601558390794	0.8171890454670434	0.5117662727140687
1680	27e4	6	2011	3	Couple with 1 child	3	Owned with mortgage	2	1	0	0	Wants to move	Not expecting to move	5716.95	0	1	2	Monthly savings	In paid employment (full or part-time)	2	Any Other White Background (White)	1967	Female	2	4	4	3	4	1	Separate	Some form of central heating	Yes	44	East of England	Not London	52.25103801	0.53921918	193	0.9228964153199087	0.9258601558390794	0.8171890454670434	0.5117662727140687
960	185e3	6	2011	1	1 adult under pensionable age, no children	3	Owned with mortgage	1	0	0	0	Wants to move	Not expecting to move	1844.03	0	2	1	No monthly savings	Self employed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1961	Male	1	5	5	5	2	2	Separate	Some form of central heating	Yes	50	East of England	Not London	52.25103801	0.53921918	193	0.8908187738411418	0.9127140508436292	0.7712855370584594	0.5117662727140687
590	2e5	6	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	1610.67	0	2	2	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1945	Female	2	1	6	5	4	3	Separate	Some form of central heating	Yes	66	East of England	Not London	52.25103801	0.53921918	193	0.8700558255048949	0.9152191456659423	0.7675917760752206	0.5117662727140687
590	2e5	6	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to move	Not expecting to move	1610.67	0	2	2	No monthly savings	Retired	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1943	Male	2	1	5	5	2	3	Separate	Some form of central heating	Yes	68	East of England	Not London	52.25103801	0.53921918	193	0.8700558255048949	0.9152191456659423	0.7675917760752206	0.5117662727140687
900	215e3	6	2011	4	Couple with 2 children	3	Owned with mortgage	2	1	0	1	Wants to stay	Not expecting to move	3478.08	0	2	3	No monthly savings	In paid employment (full or part-time)	3	Any Other White Background (White)	1972	Male	1	5	5	5	5	1	One bill	Some form of central heating	Yes	39	East of England	Not London	52.25103801	0.53921918	193	0.8876953830669215	0.9176383378631994	0.7935833338983401	0.5117662727140687
900	215e3	6	2011	4	Couple with 2 children	3	Owned with mortgage	2	1	0	1	Wants to stay	Not expecting to move	3478.08	0	1	3	No monthly savings	In paid employment (full or part-time)	1	Any Other White Background (White)	1973	Female	1	6	5	5	5	5	One bill	Some form of central heating	Yes	38	East of England	Not London	52.25103801	0.53921918	193	0.8876953830669215	0.9176383378631994	0.7935833338983401	0.5117662727140687
900	215e3	6	2011	4	Couple with 2 children	3	Owned with mortgage	2	1	0	1	Wants to stay	Not expecting to move	3478.08	0	1	3	No monthly savings	Unemployed	1	Any Other White Background (White)	1992	Male	1	5	5	5	1	4	One bill	Some form of central heating	Yes	19	East of England	Not London	52.25103801	0.53921918	193	0.8876953830669215	0.9176383378631994	0.7935833338983401	0.5117662727140687
1600	23e4	6	2011	5	2 adults, not a couple, 1 or more children	4	Owned with mortgage	1	3	0	1	Wants to stay	Not expecting to move	3029	0	3	2	No monthly savings	In paid employment (full or part-time)	2	NA	1966	Female	2	1	2	5	3	2	Separate	Some form of central heating	Yes	45	East of England	Not London	52.25103801	0.53921918	193	0.9197419080378062	0.91997732403443655	0.7879899943966816	0.5117662727140687
1600	23e4	6	2011	5	2 adults, not a couple, 1 or more children	4	Owned with mortgage	1	3	0	1	Wants to stay	Not expecting to move	3029	0	1	1	No monthly savings	Doing something else	3	NA	1991	Female	2	5	5	4	5	5	Separate	Some form of central heating	Yes	20	East of England	Not London	52.25103801	0.53921918	193	0.9197419080378062	0.91997732403443655	0.7879899943966816	0.5117662727140687
760	175e3	6	2011	1	1 male, aged 65+, no children	2	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	650	0	2	3	Monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1937	Male	1	5	5	5	3	3	Separate	Some form of central heating	Yes	74	East of England	Not London	52.25103801	0.53921918	193	0.8800609770839761	0.9109931687237106	0.7505324432272776	0.5117662727140687
960	285e3	6	2011	2	Couple 1 or more over pensionable age,no children	4	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	1324.53	138.165771484375	3	2	Monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1942	Male	2	1	3	4	3	2	One bill	Some form of central heating	Yes	69	East of England	Not London	52.25103801	0.53921918	193	0.8908187738411418	0.9279456254950387	0.7628430639295958	0.5343909092852502
960	285e3	6	2011	2	Couple 1 or more over pensionable age,no children	4	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	1324.53	138.165771484375	3	2	Monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1942	Female	2	1	1	2	3	2	One bill	Some form of central heating	Yes	69	East of England	Not London	52.25103801	0.53921918	193	0.8908187738411418	0.9279456254950387	0.7628430639295958	0.5343909092852502
200	13e4	6	2011	5	Couple with 3 or more children	2	Housing assoc rented	1	3	0	1	Wants to move	Expect moving	3368.35	0	2	1	Monthly savings	Self employed	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1967	Male	1	1	3	5	5	1	One bill	Some form of central heating	Yes	44	East of England	Not London	52.25103801	0.53921918	193	0.8431789502448496	0.9026832877875965	0.792248703010113	0.5117662727140687
1250	249995	6	2011	2	Couple both under pensionable age, no children	4	Owned with mortgage	1	0	0	1	Wants to stay	Not expecting to move	2464	1700	2	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1949	Male	2	5	4	4	3	3	Separate	Some form of central heating	Yes	62	East of England	Not London	52.25103801	0.53921918	193	0.9048272407758791	0.9229792999907599	0.780414148974514	0.6435080699922856
900	245e3	6	2011	2	Couple both under pensionable age, no children	4	Owned outright	1	0	0	1	Wants to stay	Not expecting to move	2935.02	0	2	3	No monthly savings	Long-term sick or disabled	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1959	Female	2	1	5	3	3	2	One bill	Some form of central heating	Yes	52	East of England	Not London	52.25103801	0.53921918	193	0.8876953830669215	0.9222412522656841	0.7867736776253035	0.5117662727140687
900	245e3	6	2011	2	Couple both under pensionable age, no children	4	Owned outright	1	0	0	1	Wants to stay	Not expecting to move	2935.02	0	2	3	No monthly savings	In paid employment (full or part-time)	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1957	Male	2	5	5	0	3	1	One bill	Some form of central heating	Yes	54	East of England	Not London	52.25103801	0.53921918	193	0.8876953830669215	0.9222412522656841	0.7867736776253035	0.5117662727140687
1200	25e4	6	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	2	0	2	0	Wants to stay	Not expecting to move	8940	0	1	2	Monthly savings	Self employed	5	Any Other White Background (White)	1934	Female	1	5	4	2	3	1	One bill	Some form of central heating	Yes	77	East of England	Not London	52.25103801	0.53921918	193	0.9025300868744667	0.9229800349228452	0.8429365752190489	0.5117662727140687
1200	25e4	6	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	2	0	2	0	Wants to move	Not expecting to move	8940	0	1	3	No monthly savings	Unpaid worker in family business	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1939	Male	1	3	2	2	1	3	One bill	Some form of central heating	Yes	72	East of England	Not London	52.25103801	0.53921918	193	0.9025300868744667	0.9229800349228452	0.8429365752190489	0.5117662727140687
2300	75e4	6	2011	3	3 or more adults, no children, incl. at least one couple	6	Owned outright	2	0	0	1	Wants to move	Not expecting to move	3794.48	50	2	3	No monthly savings	Looking after family or home	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1953	Male	2	1	3	2	2	2	One bill	Some form of central heating	Yes	58	East of England	Not London	52.25103801	0.53921918	193	0.9447972317772735	0.9733390096463478	0.7973233797063385	0.5206740901984966
450	25e4	6	2011	1	1 adult under pensionable age, no children	3	Owned with mortgage	1	0	0	0	Wants to stay	Not expecting to move	3897.33	1e3	2	3	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1956	Male	1	2	4	3	3	3	Separate	Some form of central heating	Yes	55	East of England	Not London	52.25103801	0.53921918	193	0.8611108340620616	0.9229800349228452	0.7985060840059139	0.6103959998154596
2200	35e4	6	2011	2	Couple 1 or more over pensionable age,no children	4	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	2889.45	250	1	3	No monthly savings	Retired	3	Bangladeshi (Asian or Asian British)	1937	Male	2	1	1	5	3	3	Separate	Some form of central heating	Yes	74	East of England	Not London	52.25103801	0.53921918	193	0.9415340333979468	0.9363316907606686	0.7861778656951632	0.5490777700518805
2200	35e4	6	2011	2	Couple 1 or more over pensionable age,no children	4	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	2889.45	0	1	3	No monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1941	Female	2	5	5	5	4	3	Separate	Some form of central heating	Yes	70	East of England	Not London	52.25103801	0.53921918	193	0.9415340333979468	0.9363316907606686	0.7861778656951632	0.5117662727140687
1020	25e4	7	2011	2	Couple both under pensionable age, no children	2	Owned with mortgage	1	0	0	1	Wants to stay	Not expecting to move	3358.33	0	2	1	No monthly savings	Unemployed	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1982	Male	0	3	5	5	4	5	Separate	Some form of central heating	Yes	29	London	London	51.50054066	-0.11127838	173	0.8938598696542904	0.9229800349228452	0.7921258291129687	0.5117662727140687
1020	25e4	7	2011	2	Couple both under pensionable age, no children	2	Owned with mortgage	1	0	0	1	Wants to stay	Not expecting to move	3358.33	300	3	1	Monthly savings	In paid employment (full or part-time)	4	Any Other White Background (White)	1979	Female	0	4	5	5	3	5	Separate	Some form of central heating	Yes	32	London	London	51.50054066	-0.11127838	173	0.8938598696542904	0.9229800349228452	0.7921258291129687	0.5548949588572321
250	18e4	7	2011	1	1 adult under pensionable age, no children	1	Owned with mortgage	1	0	0	0	Wants to move	Expect moving	6707.93	262.5853576660156	1	1	Monthly savings	In paid employment (full or part-time)	1	Chinese (Asian or Asian British)	1985	Female	1	3	5	3	4	4	One bill	Some form of central heating	Yes	26	London	London	51.50054066	-0.11127838	173	0.8469951217169405	0.9118588562794454	0.8259253474710284	0.5505804238401865
1800	25e4	7	2011	1	1 adult under pensionable age, no children	2	Owned with mortgage	1	0	0	0	Wants to move	Not expecting to move	720	0	3	3	No monthly savings	Self employed	3	Caribbean (Black/Africa/Caribbean/Black British)	1960	Female	0	1	4	2	2	5	Separate	Some form of central heating	Yes	51	London	London	51.50054066	-0.11127838	173	0.9274721971013743	0.9229800349228452	0.7518920293416393	0.5117662727140687
920	35e4	7	2011	1	1 female, age 60+, no children	3	Owned outright	1	0	1	0	Wants to stay	Not expecting to move	1001.67	20	3	3	Monthly savings	In paid employment (full or part-time)	4	NA	1947	Female	0	3	3	4	3	5	Separate	Some form of central heating	Yes	64	London	London	51.50054066	-0.11127838	173	0.8887459321354171	0.9363316907606686	0.7571622952647405	0.5154436696535554
1100	32e4	7	2011	1	1 female, age 60+, no children	3	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	873.347	138.165771484375	2	3	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1947	Female	1	1	4	3	2	3	One bill	Some form of central heating	Yes	64	London	London	51.50054066	-0.11127838	173	0.8977939067228682	0.9325846065729927	0.7547998576844346	0.5343909092852502
1400	25e4	7	2011	2	Couple both under pensionable age, no children	3	Owned with mortgage	2	0	0	0	Wants to move	Not expecting to move	5032.67	0	2	3	No monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1975	Male	2	1	3	2	5	2	One bill	Some form of central heating	Yes	36	London	London	51.50054066	-0.11127838	173	0.9114565156852393	0.9229800349228452	0.8106141787322083	0.5117662727140687
1400	25e4	7	2011	2	Couple both under pensionable age, no children	3	Owned with mortgage	2	0	0	0	Wants to move	Not expecting to move	5032.67	0	3	1	No monthly savings	Self employed	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1968	Female	2	1	1	3	5	2	One bill	Some form of central heating	Yes	43	London	London	51.50054066	-0.11127838	173	0.9114565156852393	0.9229800349228452	0.8106141787322083	0.5117662727140687
1e3	235e3	7	2011	3	Couple with 1 child	3	Owned with mortgage	2	1	0	0	Wants to stay	Expect moving	3694.92	150	1	1	Monthly savings	In paid employment (full or part-time)	2	Indian (Asian or Asian British)	1982	Male	1	5	4	2	4	3	One bill	Some form of central heating	Yes	29	London	London	51.50054066	-0.11127838	173	0.8928550472519883	0.9207400667542301	0.7961633573454034	0.5360724533155292
530	6e4	7	2011	1	1 female, age 60+, no children	1	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	1010.5	2300	2	3	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1945	Female	1	5	5	4	4	3	Separate	Some form of central heating	Yes	66	London	London	51.50054066	-0.11127838	173	0.8663068049003502	0.8874283487176082	0.7573225759069712	0.6641861589352175
1188	3e5	7	2011	2	Couple both under pensionable age, no children	2	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	2166.5	6	2	3	Monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1951	Female	2	5	5	4	2	3	Separate	Some form of central heating	Yes	60	London	London	51.50054066	-0.11127838	173	0.901971899931583	0.9299712188873211	0.7761501816091574	0.5128865176538364
1700	35e4	7	2011	2	Couple 1 or more over pensionable age,no children	3	Owned outright	1	0	2	1	Wants to stay	Not expecting to move	4669.17	12e3	1	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1943	Male	1	5	5	4	4	1	Separate	Some form of central heating	Yes	68	London	London	51.50054066	-0.11127838	173	0.9236717536232922	0.9363316907606686	0.806913621436941	0.7909480233379111
